"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","ST49SA","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Surface Area (aparc.stats) of LeftPostcentral","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
"-4","ST49TA","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Thickness Average (aparc.stats) of LeftPostcentral","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
"-4","ST49TS","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Thickness Stardard Deviation (aparc.stats) of LeftPostcentral","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
"-4","ST4SV","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Subcortical Volume (aseg.stats) of CorpusCallosumMidAnterior","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
"-4","ST50CV","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Cortical Volume (aparc.stats) of LeftPosteriorCingulate","-4","-4","N","10","0","","-4","-4","mm3","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
"-4","ST50SA","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Surface Area (aparc.stats) of LeftPosteriorCingulate","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
"-4","ST50TA","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Thickness Average (aparc.stats) of LeftPosteriorCingulate","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
"-4","ST50TS","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Thickness Stardard Deviation (aparc.stats) of LeftPosteriorCingulate","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
"-4","ST51CV","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Cortical Volume (aparc.stats) of LeftPrecentral","-4","-4","N","10","0","","-4","-4","mm3","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
"-4","ST51SA","UCSFFSX51","Cross-Sectional FreeSurfer (5.1)","-4","Surface Area (aparc.stats) of LeftPrecentral","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 08:58:14.0"
